0,1,2,3,4,5,KR,TW,CN,JP
Monthly,Exports,Value,"% of total, SA",By Country,Korea,"Korea, Exports, ASEAN, Value, % of total, SA",,,
Monthly,Exports,Value,"% of total, SA",By Country,Taiwan,,"Taiwan, Exports, US, Value, % of total, SA","China, Exports, Taiwan, Value, % of total, SA",
Monthly,Exports,Value,"% of total, SA",By Country,EU,"Exports, EU, Value, % of total, SA","Exports, EU, Value, % of total, SA","Exports, EU, Value, % of total, SA","Japan, Exports, EU, Value, % of total, SA"
Monthly,Exports,Value,"% of total, SA",By Country,US,"Korea, Exports, US, Value, % of total, SA","Exports, US, Value, % of total, SA","Exports, US, Value, % of total, SA","Japan, Exports, US, Value, % of total, SA"
Monthly,Exports,Value,% of GDP,Total,,,,"Exports, Value, % of GDP","Exports, Value, % of GDP"
Monthly,Exports,Value,% of GDP,By Product,Semiconductors,"Korea, Exports, Semiconductors, Value, % of GDP",,"China, Exports, Diodes and similar semiconductors, Value, % of GDP","Japan, Exports, Semiconductors, Value, % of GDP"
Monthly,Exports,Value,% of GDP,By Product,Passenger cars,,,"China, Exports, Passenger cars, Value, % of GDP",
Monthly,Exports,Value,% of GDP,By Product,Energy,,,,
Monthly,Exports,Value,% of GDP,By Product,Others,,"Taiwan, Exports, Broad, World, Others, Value, % of GDP",,"Japan, Exports, Group, Others, Value, % of GDP"
Monthly,Exports,Value,% of GDP,By Country,China,"Korea, Exports, China, Value, % of GDP",,"China, Exports, All, Value, % of GDP","Japan, Exports, China, Value, % of GDP"
Monthly,Exports,Value,% of GDP,By Country,Japan,"Korea, Exports, Japan, Value, % of GDP","Taiwan, Exports, Broad, Japan, Mineral Products, Value, % of GDP",,"Japan, Exports, All, Value, % of GDP"
Monthly,Exports,Value,% of GDP,By Country,Korea,"Korea, Exports, All, Value, % of GDP",,,
Monthly,Exports,Value,% of GDP,By Country,Taiwan,"Korea, Exports, Taiwan, Value, % of GDP","Taiwan, Exports, All, Value, % of GDP","China, Exports, Taiwan, Value, % of GDP","Japan, Exports, Taiwan, Value, % of GDP"
Monthly,Exports,Value,% of GDP,By Country,EU,,,,
Monthly,Exports,Value,% of GDP,By Country,US,,,,
