raw_data_name,data_type,cleaned_name
"Exports, US, Raw Materials, Unit Index",None,"Exports, US, Raw Materials, Price, index"
"Exports, US, Raw Materials, Value Index",None,"Exports, US, Raw Materials, Value, index"
"Exports, US, Textiles, Quantum Index",None,"Exports, US, Textiles, Volume, index"
"Exports, US, Textiles, Unit Index",None,"Exports, US, Textiles, Price, index"
"Exports, US, Textiles, Value Index",None,"Exports, US, Textiles, Value, index"
"Exports, US, Total, Quantum Index",None,"Exports, US, Total, Volume, index"
"Exports, US, Total, Unit Index",None,"Exports, US, Total, Price, index"
"Exports, US, Total, Value Index",None,"Exports, US, Total, Value, index"
"Exports, World, Agricultural Machinery, Quantum Index",None,"Exports, World, Agricultural Machinery, Volume, index"
"Exports, World, Agricultural Machinery, Unit Index",None,"Exports, World, Agricultural Machinery, Price, index"
"Exports, World, Agricultural Machinery, Value Index",None,"Exports, World, Agricultural Machinery, Value, index"
"Exports, World, Aircraft, Quantum Index",None,"Exports, World, Aircraft, Volume, index"
"Exports, World, Aircraft, Unit Index",None,"Exports, World, Aircraft, Price, index"
"Exports, World, Aircraft, Value Index",None,"Exports, World, Aircraft, Value, index"
"Exports, World, Audio Apparatus, Quantum Index",None,"Exports, World, Audio Apparatus, Volume, index"
"Exports, World, Audio Apparatus, Unit Index",None,"Exports, World, Audio Apparatus, Price, index"
"Exports, World, Audio Apparatus, Value Index",None,"Exports, World, Audio Apparatus, Value, index"
"Exports, World, Batterries and accumulators, Quantum Index",None,"Exports, World, Batterries and accumulators, Volume, index"
"Exports, World, Batterries and accumulators, Unit Index",None,"Exports, World, Batterries and accumulators, Price, index"
"Exports, World, Batterries and accumulators, Value Index",None,"Exports, World, Batterries and accumulators, Value, index"
"Exports, World, Bearings, Quantum Index",None,"Exports, World, Bearings, Volume, index"
"Exports, World, Bearings, Unit Index",None,"Exports, World, Bearings, Price, index"
"Exports, World, Bearings, Value Index",None,"Exports, World, Bearings, Value, index"
"Exports, World, Blank/Recorded Media, Quantum Index",None,"Exports, World, Blank/Recorded Media, Volume, index"
"Exports, World, Blank/Recorded Media, Unit Index",None,"Exports, World, Blank/Recorded Media, Price, index"
"Exports, World, Blank/Recorded Media, Value Index",None,"Exports, World, Blank/Recorded Media, Value, index"
"Exports, World, Buses, Tracks, Quantum Index",None,"Exports, World, Buses, Tracks, Volume, index"
"Exports, World, Buses, Tracks, Unit Index",None,"Exports, World, Buses, Tracks, Price, index"
"Exports, World, Buses, Tracks, Value Index",None,"Exports, World, Buses, Tracks, Value, index"
"Exports, World, Cargo Motor Cars, Quantum Index",None,"Exports, World, Cargo Motor Cars, Volume, index"
"Exports, World, Cargo Motor Cars, Unit Index",None,"Exports, World, Cargo Motor Cars, Price, index"
"Exports, World, Cargo Motor Cars, Value Index",None,"Exports, World, Cargo Motor Cars, Value, index"
"Exports, World, Cargo Ships, Quantum Index",None,"Exports, World, Cargo Ships, Volume, index"
"Exports, World, Cargo Ships, Unit Index",None,"Exports, World, Cargo Ships, Price, index"
"Exports, World, Cargo Ships, Value Index",None,"Exports, World, Cargo Ships, Value, index"
"Exports, World, Chemicals, Quantum Index",None,"Exports, World, Chemicals, Volume, index"
"Exports, World, Chemicals, Unit Index",None,"Exports, World, Chemicals, Price, index"
"Exports, World, Chemicals, Value Index",None,"Exports, World, Chemicals, Value, index"
"Exports, World, Clad,Plated or Coated, Quantum Index",None,"Exports, World, Clad,Plated or Coated, Volume, index"
"Exports, World, Clad,Plated or Coated, Unit Index",None,"Exports, World, Clad,Plated or Coated, Price, index"
"Exports, World, Clad,Plated or Coated, Value Index",None,"Exports, World, Clad,Plated or Coated, Value, index"
"Exports, World, Clothing, Quantum Index",None,"Exports, World, Clothing, Volume, index"
"Exports, World, Clothing, Unit Index",None,"Exports, World, Clothing, Price, index"
"Exports, World, Clothing, Value Index",None,"Exports, World, Clothing, Value, index"
"Exports, World, Computer and Units, Quantum Index",None,"Exports, World, Computer and Units, Volume, index"
"Exports, World, Computer and Units, Unit Index",None,"Exports, World, Computer and Units, Price, index"
"Exports, World, Computer and Units, Value Index",None,"Exports, World, Computer and Units, Value, index"
"Exports, World, Condenser, Quantum Index",None,"Exports, World, Condenser, Volume, index"
"Exports, World, Condenser, Unit Index",None,"Exports, World, Condenser, Price, index"
"Exports, World, Condenser, Value Index",None,"Exports, World, Condenser, Value, index"
"Exports, World, Construction Machines, Quantum Index",None,"Exports, World, Construction Machines, Volume, index"
"Exports, World, Construction Machines, Unit Index",None,"Exports, World, Construction Machines, Price, index"
"Exports, World, Construction Machines, Value Index",None,"Exports, World, Construction Machines, Value, index"
"Exports, World, Copper and Copper alloys, Quantum Index",None,"Exports, World, Copper and Copper alloys, Volume, index"
"Exports, World, Copper and Copper alloys, Unit Index",None,"Exports, World, Copper and Copper alloys, Price, index"
"Exports, World, Copper and Copper alloys, Value Index",None,"Exports, World, Copper and Copper alloys, Value, index"
"Exports, World, Dom.Electrical Equip., Quantum Index",None,"Exports, World, Dom.Electrical Equip., Volume, index"
"Exports, World, Dom.Electrical Equip., Unit Index",None,"Exports, World, Dom.Electrical Equip., Price, index"
"Exports, World, Dom.Electrical Equip., Value Index",None,"Exports, World, Dom.Electrical Equip., Value, index"
"Exports, World, Dyeing Tanning,Colouring, Quantum Index",None,"Exports, World, Dyeing Tanning,Colouring, Volume, index"
"Exports, World, Dyeing Tanning,Colouring, Unit Index",None,"Exports, World, Dyeing Tanning,Colouring, Price, index"
"Exports, World, Dyeing Tanning,Colouring, Value Index",None,"Exports, World, Dyeing Tanning,Colouring, Value, index"
"Exports, World, Electrcal measuring and controlling instruments, Quantum Index",None,"Exports, World, Electrcal measuring and controlling instruments, Volume, index"
"Exports, World, Electrcal measuring and controlling instruments, Unit Index",None,"Exports, World, Electrcal measuring and controlling instruments, Price, index"
"Exports, World, Electrcal measuring and controlling instruments, Value Index",None,"Exports, World, Electrcal measuring and controlling instruments, Value, index"
"Exports, World, Electric Power Machinery, Quantum Index",None,"Exports, World, Electric Power Machinery, Volume, index"
"Exports, World, Electric Power Machinery, Unit Index",None,"Exports, World, Electric Power Machinery, Price, index"
"Exports, World, Electric Power Machinery, Value Index",None,"Exports, World, Electric Power Machinery, Value, index"
"Exports, World, Electrical Apparatus, Quantum Index",None,"Exports, World, Electrical Apparatus, Volume, index"
"Exports, World, Electrical Apparatus, Unit Index",None,"Exports, World, Electrical Apparatus, Price, index"
"Exports, World, Electrical Apparatus, Value Index",None,"Exports, World, Electrical Apparatus, Value, index"
"Exports, World, Electrical Machinery, Quantum Index",None,"Exports, World, Electrical Machinery, Volume, index"
"Exports, World, Electrical Machinery, Unit Index",None,"Exports, World, Electrical Machinery, Price, index"
"Exports, World, Electrical Machinery, Value Index",None,"Exports, World, Electrical Machinery, Value, index"
"Exports, World, Electronic integrated circuits, Quantum Index",None,"Exports, World, Electronic integrated circuits, Volume, index"
